UID,VIP Level,Date Drawn,Trading Pairs,Coin,Commission Status,Source Type,Source,TakerVolume,MakerVolume,Interest,Fee Profit,Commissions
75917494,VIP 1,2023-11-30,PYTHUSDT,USDT,Settled,Client,API,251.2209,433.1804,0,0.16589981,0.07465488
77335932,VIP 1,2023-11-30,IOTAUSDT,USDT,Settled,Client,API,683.01452,2415.74159,0,0.6738889,0.3032495
65511970,VIP 1,2023-11-30,ETHUSDT,USDT,Settled,Client,API,0,202.6756,0,0.03648162,0.01641671
80014246,VIP 1,2023-11-30,IOTAUSDT,USDT,Settled,Client,API,172.21899,932.58485,0,0.22814208,0.10266376
75942108,VIP 3,2023-11-30,IOTAUSDT,USDT,Settled,Client,API,2818.98386,6539.2976,0,1.75896871,0.79153568
65511970,VIP 1,2023-11-30,IOTAUSDT,USDT,Settled,Client,API,158.64828,1975.93668,0,0.41126245,0.18506778
75917494,VIP 1,2023-11-30,IOTAUSDT,USDT,Settled,Client,API,114.99642,353.33507,0,0.10579034,0.04760561
80014246,VIP 1,2023-11-30,INJUSDT,USDT,Settled,Client,API,584.2907,9195.09155,0,1.84739023,0.83132478
65511970,VIP 1,2023-11-30,INJUSDT,USDT,Settled,Client,API,744.65355,8447.14125,0,1.77893131,0.80051831
77335932,VIP 1,2023-11-30,INJUSDT,USDT,Settled,Client,API,743.7575,17934.08975,0,3.49586898,1.57313995
75917494,VIP 1,2023-11-30,INJUSDT,USDT,Settled,Client,API,1303.2983,17186.18275,0,3.53654731,1.59144527
75942108,VIP 3,2023-11-30,INJUSDT,USDT,Settled,Client,API,9105.8262,153491.5979,0,24.15679308,10.87055526
65511970,VIP 1,2023-11-30,PERPUSDT,USDT,Settled,Client,API,33444.49788,0,0,11.68261387,5.25717567
77335932,VIP 1,2023-11-30,BTCUSDT,USDT,Settled,Client,API,837.1,489.4515,0,0.33923131,0.15265404
80014246,VIP 1,2023-11-30,BTCUSDT,USDT,Settled,Client,API,799.1193,452.6158,0,0.36116263,0.16252313
65511970,VIP 1,2023-11-30,BTCUSDT,USDT,Settled,Client,API,608.7984,377.1002,0,0.28095751,0.12643084
75942108,VIP 3,2023-11-30,BTCUSDT,USDT,Settled,Client,API,8751.477,6366.729,0,3.5167852,1.58255329
75917494,VIP 1,2023-11-30,BTCUSDT,USDT,Settled,Client,API,760.6315,113.1156,0,0.28658184,0.1289618
65511970,VIP 1,2023-11-30,LINKUSDT,USDT,Settled,Client,API,1292.7543,530.5798,0,0.52986324,0.23843836
77335932,VIP 1,2023-11-30,LINKUSDT,USDT,Settled,Client,API,2221.8883,998.1714,0,0.95295436,0.42882933
75942108,VIP 3,2023-11-30,LINKUSDT,USDT,Settled,Client,API,17979.5056,7335.5256,0,6.32184172,2.84482857
75917494,VIP 1,2023-11-30,LINKUSDT,USDT,Settled,Client,API,2056.5931,1862.9224,0,1.02480301,0.46116118
80014246,VIP 1,2023-11-30,LINKUSDT,USDT,Settled,Client,API,1373.4577,554.8379,0,0.58058109,0.26126137
65511970,VIP 1,2023-11-29,PERPUSDT,USDT,Settled,Client,API,33539.5159,0,0,11.5675686,5.20540539
65511970,VIP 1,2023-11-29,SUPERUSDT,USDT,Settled,Client,,5616.521,0,0,2.04865867,0.9218959
77335932,VIP 1,2023-11-29,BTCUSDT,USDT,Settled,Client,API,0,756.1933,0,0.13611483,0.06125162
65511970,VIP 1,2023-11-29,BTCUSDT,USDT,Settled,Client,API,0,529.9467,0,0.09539045,0.04292565
75917494,VIP 1,2023-11-29,BTCUSDT,USDT,Settled,Client,API,0,642.7508,0,0.11569519,0.05206277
80014246,VIP 1,2023-11-29,BTCUSDT,USDT,Settled,Client,API,0,567.6401,0,0.10217527,0.04597882
75942108,VIP 3,2023-11-29,BTCUSDT,USDT,Settled,Client,API,0,7936.721,0,1.11114099,0.50001339
75917494,VIP 1,2023-11-29,LINKUSDT,USDT,Settled,Client,API,0,1438.4656,0,0.2589239,0.11651563
65511970,VIP 1,2023-11-29,LINKUSDT,USDT,Settled,Client,API,0,856.6381,0,0.15419491,0.06938758
77335932,VIP 1,2023-11-29,LINKUSDT,USDT,Settled,Client,API,0,1418.6099,0,0.25534988,0.11490732
75942108,VIP 3,2023-11-29,LINKUSDT,USDT,Settled,Client,API,0,12588.5585,0,1.76239835,0.79307907
80014246,VIP 1,2023-11-29,LINKUSDT,USDT,Settled,Client,API,0,947.6893,0,0.17058414,0.07676275
65511970,VIP 1,2023-11-29,SUPERUSDT,USDT,Settled,Client,API,0,17630.1696,0,3.17343055,1.42804369
80014246,VIP 1,2023-11-28,SOLUSDT,USDT,Settled,Client,API,365.1732,0,0,0.12781062,0.05751477
65511970,VIP 1,2023-11-28,BTCUSD,BTC,Settled,Client,API,31664,0,0,11.03809972,4.96412357
80014246,VIP 1,2023-11-28,BTCUSDT,USDT,Settled,Client,API,112.566,226.8841,0,0.08023726,0.03610673
77335932,VIP 1,2023-11-28,BTCUSDT,USDT,Settled,Client,API,224.7818,260.353,0,0.1255372,0.05649169
65511970,VIP 1,2023-11-28,BTCUSDT,USDT,Settled,Client,API,299.2415,260.7134,0,0.15166296,0.06824829
75942108,VIP 3,2023-11-28,BTCUSDT,USDT,Settled,Client,API,3631.9708,3457.6771,0,1.57366608,0.70814968
75917494,VIP 1,2023-11-28,BTCUSDT,USDT,Settled,Client,API,3755.9926,334.74,0,1.37485065,0.61868274
75917494,VIP 1,2023-11-28,ETHUSDT,USDT,Settled,Client,API,11282.7968,0,0,3.94897888,1.77704048
65511970,VIP 1,2023-11-27,BTCUSDT,USDT,Settled,Client,API,646860.4127,647913.54,0,343.02558164,154.36151144
75917494,VIP 1,2023-11-27,BTCUSDT,USDT,Settled,Client,API,0,1140.9487,0,0.20537077,0.09241684
75917494,VIP 1,2023-11-27,SOLUSDT,USDT,Settled,Client,API,447.1542,446.7921,0,0.23692655,0.10661693
65511970,VIP 1,2023-11-27,BTCUSDT,USDT,Settled,Client,API,859.1311,147.8245,0,0.3273043,0.1472869
